Category,Description
Bills,EE
Bills,EE LIMITED
Bills,Nord 
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Groceries,ALDI STORES 
Bills,Nord 
Bills,EE
Bills,EE LIMITED
Bills,EE
Bills,EE LIMITED
Bills,EE
Bills,EE LIMITED
Bills,EE
Bills,EE LIMITED
Groceries,SAINSBURYS
Groceries,Waitrose
Entertainment,Nord 
Bills,EE
Eating out, Club Mexicana  
Entertainment,ODEON
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Groceries,Pick n Pay
Entertainment,QUICKET  
Holidays,Hotel at Bookingcom 
Eating out,BEYROOTS  
Transport,TfL Travel Charge 
Eating out,BUBBA CAFE
Eating out,BREWHOUSE AND KITCHEN
Eating out,BREWDOG SEVEN DIALS
Eating out,RUYI
Eating out,Ruyi
Eating out,Ruyi
Eating out,DELIVEROO
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Bills,Council
Eating out,Ship 
Groceries,Woolworths
Shopping,ARGOS  
Transport,TFL TRAVEL 
Shopping,TK MAXX
Personal care,SUPERDRUG STORES 
Transport,trainline
Eating out,Food
Shopping,adidas  Limited 
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Bills,Council Tax
Transport,TFL TRAVEL 
Groceries,Woolies Dash  
Groceries,SAINSBURYS
Transport,trainline
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Eating out,Yemek Café
Eating out,DELIVEROO
Groceries,Woolies Dash
Eating out,Yemek Café
Eating out,Deliveroo
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Groceries,WAITROSE
Eating out,GREGGS
Groceries,MS
Entertainment,PAINTS
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Transport,trainline
Groceries,CAFEXPRESSOP 
Groceries,SAINSBURYS
Personal care,BOOTS
Personal care,BOOTS
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Personal care,BOOTS
Entertainment,Kings Arms Wandsworth 
Eating out,KFC 
Entertainment,WANDLE  
Eating out,THE EARLSFIELD
Transport,TfL Travel Charge 
Groceries,TESCO PFS 
Entertainment,BOXOFFICECO
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Groceries,WAITROSE
Groceries,SAINSBURYS
Personal care,BOOTS
Bills,EE
Holidays,BA
Holidays,BA  
Holidays,BA INTERNET SALES
Transport,trainline
Transport,EXPENSIFY
Eating out,MCDONALDS
Groceries,SAINSBURYS
Bills,Rent
Bills,WifiH2OCouncilT
Eating out,Al Gusto 
Eating out,PATTY BUN
Groceries,WAITROSE
Transport,TfL Travel Charge 
Eating out, Sh  St Asaph
Groceries,SAINSBURYS
Shopping,TK MAXX
Eating out,SHORYU CARNABY STREET GREAT BRITA
Groceries,WAITROSE
Transfers,Freetrade Limited
Bills,Water
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Eating out,SOHO THEATRE BAR
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Eating out,CURTAINS UP
Transport,TfL Travel Charge 
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Groceries,WAITROSE
Groceries,SAINSBURYS
Shopping,APPLE
Groceries,SAINSBURYS
Shopping,Takealot  
Groceries,SAINSBURYS
Groceries,Bulk COLCHESTER
Groceries,SAINSBURYS
Bills,Freetrade Limited
Eating out,DELIVEROO
Transport,TfL Travel Charge 
Eating out,SUBWAY 
Shopping,Nike GBP
Groceries,HOLLAND AND BARRETT
Eating out,THE BEDFORD
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Transport,EXPENSIFY
Groceries,SAINSBURYS
Shopping,WF WAYFAIR
Shopping,HOLLAND AND BARRETT
Transport,EXPENSIFY
Eating out,The Regent 
Eating out,The Regent 
Eating out,The Regent 
Eating out,DELIVEROO
Groceries,SAINSBURYS
Eating out,Khin Win Food 
Bills,Phone
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Holidays,Mallorca
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Shopping,TK MAXX
Groceries,SAINSBURYS
Shopping,PRIMARK STORES
Holidays,BA  
Holidays,BA  
Bills,EE
Shopping,PARTY AND CELEBRATE
Transport,TFL TRAVEL 
Entertainment,TWICKENHAM EXPERIENCE TWICKENHAM
Eating out,INFERNOS 
Eating out,INFERNOS 
Eating out,INFERNOS 
Eating out,INFERNOS 
Transport,TFL TRAVEL 
Eating out,DELIVEROO
Shopping,PRIMARK STORES
Transport,TfL Travel Charge 
Bills,Rent
Bills,WifiH2OCouncilT
Groceries,Tesco
Entertainment,Twickenham Experience
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Groceries,Woolies Dash  
Groceries,SAINSBURYS
Transfers,Freetrade Limited
Groceries,SAINSBURYS
Groceries,TESCO STORES WESTMINSTER
Groceries,TESCO STORES MAYFAIR
Eating out,PRET A MANGER
Eating out,BREWDOG SOHO
Eating out,The Pear Tree Cafe
Eating out,SUBWAY 
Groceries,WAITROSE
Transport,TFL TRAVEL 
Personal care,BOOTS
Groceries,SAINSBURYS
Groceries,WAITROSE
Eating out,From The Ashes
Groceries,SAINSBURYS
Bills,Car
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Bills,POST OFFICE
Shopping,APPLE
Groceries,SAINSBURYS
Shopping,TK MAXX
Transport,TFL TRAVEL 
Groceries,COOP GROUP FOOD
Eating out,BREWDOG PUB NORTHCOTE
Eating out,OPAOPA
Groceries,SAINSBURYS
Eating out,Greek food
Personal care,BOOTS
Transport,TFL TRAVEL 
Eating out,CAMERINI LIMITED
Eating out,THE KITCHEN 
Eating out,DELIVEROO
Transport,TfL Travel Charge 
Personal care,BOOTS
Shopping,CURRYS ONLINE
Transport,TFL TRAVEL 
Eating out,WATERFRONT
Eating out,IL PAGLIACCIO
Transport,TfL Travel Charge 
Groceries,WAITROSE
Groceries,ALDI STORES 
Groceries,SAINSBURYS
Holidays,AIRBNB HMMXXTZ4ZK
Transport,TfL Travel Charge 
Personal care,BOOTS SEDLEY PLACE
Shopping,MARKSSPENCER  MARBLE ARCH
Groceries,MARKSSPENCER  SACA MARBLE ARCH
Shopping,ZARA BOND STREET
Eating out,Bagel Factory 
Groceries,SAINSBURYS
Eating out,Il Pagliaccio
Eating out,GREGGS
Personal care,SUPERDRUG STORES 
Transport,TFL TRAVEL 
Bills,TV Licensing
Groceries,SAINSBURYS
Groceries,SAINSBURYS HI
Groceries,SAINSBURYS
Personal care,BOOTS
Groceries,ALDI STORES 
Groceries,SAINSBURYS
Shopping,TK MAXX
Eating out,BUONDICIULLOSTERIA 
Eating out,BIRDIES
Eating out,PHOENIX STAFFING L 
Eating out,KAYANI GRILL
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Bills,O2 PREPAY TOPUP SLOUGH
Groceries,SAINSBURYS
Personal care,BOOTS
Bills,EE
Eating out,THE CYCLIST
Groceries,ALDI STORES 
Bills,Rent
Bills,WifiH2OCouncilT
Entertainment,BIG BUS TOURS 
Personal care,BOOTS
Entertainment,THE CLUB DOM HORSHAM
Transport,TfL Travel Charge 
Eating out,PRET A MANGER
Eating out,ARBORETUM LOUNGE WC2H
Eating out,ARBORETUM LOUNGE WC2H
Transfers,Vanguard
Eating out,Paula ta The Brentwood
Transport,CITYEXPERIENCES
Eating out,HAWKSMOOR
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Shopping,Souvenir World  
Eating out,ZIA LUCIA 
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Eating out,THE BEDFORD
Bills,Council
Groceries,BENS COOKIES BATH
Eating out,PRET A MANGER
Shopping,TOBACCO
Eating out,Kingdom Of Sweets
Transport,TFL TRAVEL 
Eating out,DISHOOM KINGS CROSS
Groceries,THE SAVANNA
Transport,TfL Travel Charge 
Transfers,Monzo
Transfers,Monzo
Eating out,THE CLACHAN
Eating out,FIVE GUYS OXFORD CIRCU
Bills,Energy
Transport,TFL TRAVEL 
Transport,trainline
Eating out,DELIVEROO
Eating out,Pret a Manger Oxf Oxford
Eating out,Baste Chadlington
Groceries,CURDLE HILL FARM L 
Entertainment,Bell at Stow Cheltenham
Groceries,COOPERATIVE FOOD CHELTENHAM
Entertainment,Movies
Eating out, HUFFKINS Burford
Transport,TFL TRAVEL 
Groceries,COOPERATIVE FOOD CHELTENHAM
Transport,Trainline 
Eating out,HACKETTS STOW STOW ON THE W
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Transfers,Monzo
Eating out,HACHE BURGER
Personal care,SUPERDRUG STORES 
Groceries,SAINSBURYS
Bills,Energy
Eating out,GAILS
Eating out,Turnips 
Entertainment,JTR Museum 
Eating out,CAFE ROUGE GREAT BRITAI
Groceries,SAINSBURYS
Eating out,UBER TECHNOLOGIES INC SAN FRANCISCO CA
Transport,UBER PENDING 
Transport,UBER PENDING 
Transport,UBER PENDING 
Shopping,MS SIMPLY FOOD SSP HEATHROW
Transport,TfL Travel Charge 
Shopping,TK MAXX
Personal care,BOOTS
Groceries,SAINSBURYS
Transport,UBER PENDING 
Transport,trainline
Eating out,KAYANI GRILL
Eating out,Kayani Grill
Transport,Uber
Groceries,Sainsburys
Eating out,Lunch
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Eating out,GAILS
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Entertainment,Theatre Royal Haymarket
Groceries,SAINSBURYS
Transfers,Monzo
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Bills,EE
Groceries,WAITROSE
Bills,Rent
Bills,WifiH2OCouncilT
Eating out,GAILS
Personal care,SUPERDRUG STORES 
Groceries,SAINSBURYS
Eating out,THE BEDFORD
Entertainment,Banana Cabaret
Groceries,WAITROSE
Transfers,Vanguard
Bills,Electricity
Bills,Octopus Energy
Bills,Gas
Bills,Octopus Energy
Eating out,Breakfast
Transport,TFL TRAVEL 
Groceries,WAITROSE
Eating out,GAILS
Groceries,SAINSBURYS
Groceries,WAITROSE
Groceries,ALDI STORES 
Groceries,SAINSBURYS
Holidays,VIR ATL
Bills,apple 
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Transport,TFL CYCLE HIRE
Groceries,SAINSBURYS ST JOHNS H
Eating out,Coat Badge 
Eating out,Coat Badge 
Eating out,MCDONALDS
Transport,TfL Travel Charge 
Personal care,BOOTS
Shopping,TK MAXX
Personal care,SUPERDRUG STORES 
Groceries,SAINSBURYS
Shopping,Nike GBP
Groceries,WAITROSE
Groceries,WAITROSE
Eating out,THUNDERBIRD FRIED 
Eating out,Alexandra 
Eating out,Alexandra 
Eating out,Alexandra 
Eating out,KAYANI GRILL
Entertainment, Theatre
Transport,TFL TRAVEL 
Groceries,WAITROSE
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Groceries,TESCO STORES HAMMERSMITH
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Eating out,GAILS
Eating out,The Regent 
Eating out,Hagen and Hyde 
Eating out,Hagen and Hyde 
Eating out,KAYANI GRILL
Transfers,Monzo
Bills,EE
Shopping,MARKSSPENCER  KENSINGTON
Groceries,WAITROSE
Bills,Rent
Bills,WifiH2OCouncilT
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Entertainment,CINEMA COMEDY THEA
Groceries,SAINSBURYS
Eating out,The Sun 
Entertainment,THE TOP SECRET COMEDY WC2B
Entertainment,THE TOP SECRET COM 
Eating out,MCDONALDS
Transfers,Vanguard
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Bills,Subscription
Bills,Gas
Bills,Octopus Energy
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Groceries,WAITROSE
Bills,Gas
Transport,TfL Travel Charge 
Bills,apple 
Holidays,Norwegian Air Shuttle
Bills,Energy bill
Transport,TFL TRAVEL 
Eating out,MARKS SPENCER WATERL
Entertainment,BAG ONAILS VICTORIA
Eating out,MS SIMPLY FOOD
Groceries,WAITROSE
Groceries,SAINSBURYS
Personal care,CAMERINI LIMITED
Eating out,LARK
Groceries,SAINSBURYS
Eating out, The Pear Tree Cafe
Eating out, The Pear Tree Cafe
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Entertainment,KAYAL LEAMINGTON
Groceries,SAINSBURYS
Shopping,AMAZON
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Groceries,WAITROSE
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Entertainment,Arsenal Direct 
Eating out,The Regent 
Eating out,DELIVEROO
Entertainment,Arsenal Direct
Eating out,Deliveroo
Eating out,he Tollington Arms
Eating out,The Regent
Eating out,The Wandle of Earlsfield
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Personal care,SUPERDRUG STORES 
Groceries,Woolies Dash  
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Groceries,WAITROSE
Groceries,PP Shopspa  
Groceries,Woolies Dash  
Groceries,SAINSBURYS
Shopping,PULL AND BEAR OXFORD S
Shopping,ZARA BOND STREET
Eating out,BREWDOG RETAIL 
Eating out,THE STAR AND GARTER
Groceries,SAINSBURYS SUPERMARKET 
Transport,TFL TRAVEL 
Personal care,SUPERDRUG STORES 
Transport,TfL Travel Charge 
Personal care,SUPERDRUG STORES 
Eating out,PRET A MANGER
Bills,EE
Groceries,WAITROSE WIMBLEDON
Eating out,INFERNOS 
Eating out,INFERNOS 
Eating out,INFERNOS 
Eating out,INFERNOS 
Bills,Rent
Bills,WifiH2OCouncilT
Transfers,Monzo
Eating out,KAYANI GRILL
Transport,TFL TRAVEL 
Personal care,SAINSBURYS
Transport,TFL TRAVEL 
Transfers,Monzo
Groceries,SAINSBURYS
Transfers,Vanguard
Bills,Energy
Bills,Octopus Energy
Bills,apple
Eating out,Common
Eating out,Casa Pastor 
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Transport,TFL TRAVEL 
Entertainment,DISCO BOWL
Groceries,TESCO STORES
Entertainment,THE GREAT NORTH WOOD
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Bills,TV Licensing
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Eating out,LOCATION
Eating out,HOME SLICE
Transport,TFL TRAVEL 
Personal care,SUPERDRUG STORES 
Eating out,SUNNEYFIELDS  
Eating out,THE PORTERHOUSE
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Eating out,MEGANS ON THE HILL 
Eating out,THE AVALON PUB
Eating out,MCDONALDS
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Transport,TFL TRAVEL 
Eating out,THE CUMBERLAND ARMS
Eating out,THE CUMBERLAND ARMS
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Shopping,SONY
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Groceries,WAITROSE
Groceries,SAINSBURYS
Shopping,TK MAXX
Groceries,SAINSBURYS
Bills,EE
Groceries,SAINSBURYS
Bills,Rent
Bills,WifiH2OCouncilT
Transfers,Monzo
Transfers,Freetrade Limited
Shopping,thulecomengb HAVERHILL
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Personal care,SUPERDRUG STORES 
Entertainment,Resident Advisor
Entertainment,Brixton Jamm 
Entertainment,Brixton Jamm 
Entertainment,Brixton Jamm 
Eating out,MCDONALDS
Transport,TfL Travel Charge 
Bills,Energy
Groceries,LEBANESE MEZA
Groceries,AMELIAS BAKE HOUSE
Eating out,THE EXHIBIT 
Eating out,THE EXHIBIT 
Shopping,TK MAXX
Groceries,SAINSBURYS
Entertainment,Yandisa Founda 
Bills,apple 
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Transfers,Sent from Revolut
Eating out,WEST KENSINGTO 
Transport,TfL Travel Charge 
Transport,TfL Travel Charge 
Entertainment,PYDDe of Battersea 
Entertainment,PYDDe of Battersea 
Entertainment,PYDDe of Battersea 
Eating out,KAYANI GRILL
Transport,TFL TRAVEL 
Eating out,Uber  Eats 
Bills,TV Licensing
Personal care,SUPERDRUG STORES 
Bills,EE
Bills,EE LIMITED
Personal care,BOOTS
Holidays,Bookingcom
Transport,Trainline 
Transport,Trainline
Eating out,CAFFE NERO GATWICK GATWICK AIRPO
Eating out,Arli Event ApS Kobenhavn
Eating out,Ba ApS Koebenhavn
Groceries,Lagkagehuset Koebenhavn
Eating out,ChristmasEvent Kobenhavn
Eating out,Cocktail
Eating out,Reasturant
Entertainment,Tivoli AS FB Koebenhavn
Eating out,Tivoli AS FB Koebenhavn
Entertainment,Broennum Koebenhavn
Entertainment,Rosenborg Kobenhavn
Eating out,CHURROS
Transport,DSB Koebenhavn
Eating out,Lagkagehuset Kastrup 
Groceries,WHSMITH
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Shopping,HOLLISTER 
Shopping,Nike GBP
Groceries,SAINSBURYS
Eating out,WALRUS AND CARPENTER
Eating out,WALRUS AND CARPENTER
Eating out,MCDONALDS
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Shopping,Hamleys Regent Street 
Eating out,SHAKE SHACK COVENTRY
Transport,TfL Travel Charge 
Personal care,SUPERDRUG STORES 
Eating out,PLANET ORGANIC BAL
Shopping,HOLLISTER CO REGENT ST
Bills,Council Tax
Transport,TFL TRAVEL 
Shopping,HOLLISTER CO REGENT ST REGENT STREETW1B 4EW 
Groceries,SAINSBURYS  
Entertainment,TICKETS
Entertainment,See Tickets
Entertainment,See Tickets
Groceries,SAINSBURYS
Bills,Rent
Bills,WifiH2OCouncilT
Transfers,Monzo
Transfers,ISA
Entertainment,DE OF WELLINGTON SW1W
Entertainment,DE OF WELLINGTON SW1W
Eating out,Bleecker E1 6PJ
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Eating out,GAILS
Eating out,DINES FEUER BOWLE WW
Entertainment,WINTER WONDERLAND
Entertainment,WINTER WONDERLAND
Eating out,Bavarian Village 
Entertainment,WINTER WONDERLAND
Entertainment,WINTER WONDERLAND
Bills,Energy
Bills,Octopus Energy
Transport,TFL TRAVEL 
Entertainment,Winter Wonderland
Transport,LHR T3 WDF MAIN TERMINAL
Groceries,HEATHROW T3 HEATHROW T3
Eating out,PRET A MANGER HOUNSLOW
Transport,TfL Travel Charge 
Groceries,Checkers Fresh
Eating out,THE LOCAL EATERY AT KE  
Eating out,Seattle  Western Cape 
Shopping,Refinery  WC 
Personal care,MANI PEDI
Personal care,Dischem Somerset Mall WC 
Groceries,AMPED SPORT
Entertainment,Winter Wonderland
Entertainment,Carousel Bars
Entertainment,Winter Wonderland
Entertainment,Winter Wonderland
Entertainment,Winter Wonderland
Groceries,Checkers Fresh X Sitar SB083549 
Eating out,THE LOCAL EATERY AT KE  
Bills,apple 
Transport,SHELL ZEEZICHT MOTORS  
Eating out,BOTANICUM AT MORGENSTE RWOODSTOCK 
Eating out,Bavarian Village
Shopping,AGRIMARK 
Eating out,CAN
Groceries,TIME BY TRIGG
Shopping,SORBET
Eating out,TIGERS MILK 
Groceries,PnP
Eating out,MCD
Personal care,ON MANE
Personal care,DRS LOURENS
Groceries,Checkers Fresh
Entertainment,YELLOW TOAST PRETORIA 
Eating out,BLAAUWKLIPPEN
Eating out,STADIUM EVENTS
Eating out,BLAAUWKLIPPEN
Eating out,THE LOCAL EATERY
Personal care,Dischem
Groceries,Checkers Fresh
Eating out,THE LOCAL EATERY
Transport,SHELL FIRGROVE  
Shopping,Dischem
Groceries,Checkers Fresh
Groceries,Liquor Shop
Groceries,WOOLWORTHS
Shopping,PEP 
Shopping,COTTON ON 
Eating out,BOOTLEGGER BAKOVEN
Eating out,CAFE CAPRICE
Eating out,THE LOCAL EATERY AT KE  
Groceries,Liquor Shop Sitari
Groceries,WOOLWORTHS SITARI 
Groceries,Checkers Fresh X Sitar
Personal care,Dischem Sitari Fields WC 
Eating out,THE LOCAL EATERY AT KE  
Bills,Phone
Groceries,SCHOON BRIGHT STREET  
Bills,Rent
Bills,WifiH2OCouncilT
Transfers,Monzo
Transfers,ISA
Eating out,GIOVANNIS EIKENDAL Krigeville 
Personal care,CMPA Heldervue Pharmac Heldervue 
Groceries,KwikSpar Heldervue Western Cape 
Groceries,SHELL ROBERTSON CONV C Robertson 
Eating out,GUANO CAVE MONTAGU 
